epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789560239	107.09	38	0	1695	0x0000000000000000	21452	45617744	8388604	8378476
1789560241	195.72	46	100	1635	0x0000000000000004	23272	45249396	8388604	8378476
1789560243	348.61	47	100	1635	0x0000000000000004	23292	45177520	8388604	8378476
1789560245	348.09	48	100	1635	0x0000000000000004	23292	45201684	8388604	8378476
1789560247	347.71	49	100	1635	0x0000000000000004	23292	44848172	8388604	8378476
1789560249	343.84	49	100	1635	0x0000000000000004	23292	44985816	8388604	8378476
1789560251	342.73	50	97	1605	0x0000000000000004	23292	45019616	8388604	8378476
1789560253	342.92	50	100	1605	0x0000000000000004	23292	44755800	8388604	8378476
1789560255	342.67	50	100	1725	0x0000000000000004	23292	44896888	8388604	8378476
1789560257	344.28	51	100	1695	0x0000000000000004	23292	44960624	8388604	8378476
1789560259	337.15	51	97	1605	0x0000000000000004	23292	44971244	8388604	8378476
1789560261	337.54	52	100	1635	0x0000000000000004	23292	45080124	8388604	8378476
1789560263	334.92	52	100	1605	0x0000000000000004	23292	45100224	8388604	8378476
1789560265	341.42	52	100	1800	0x0000000000000004	23292	45114260	8388604	8378476
1789560267	332.80	53	100	1590	0x0000000000000004	23292	45088140	8388604	8378476
1789560269	338.04	52	100	1590	0x0000000000000004	23292	45124036	8388604	8378476
1789560271	334.90	53	100	1650	0x0000000000000004	23292	45102712	8388604	8378476
1789560273	334.54	54	100	1605	0x0000000000000004	23292	44859724	8388604	8378476
1789560275	337.67	54	100	1590	0x0000000000000004	23292	44905708	8388604	8378476
1789560277	336.59	54	100	1620	0x0000000000000004	23292	44902752	8388604	8378476
1789560279	334.28	54	100	1620	0x0000000000000004	23292	44800948	8388604	8378476
1789560281	332.96	55	100	1620	0x0000000000000004	23292	44725328	8388604	8378476
1789560283	338.08	54	100	1815	0x0000000000000004	23292	44773068	8388604	8378476
1789560285	330.04	54	100	1605	0x0000000000000004	23292	44774156	8388604	8378476
1789560287	336.20	54	100	1605	0x0000000000000004	23292	44138096	8388604	7997156
1789560289	336.57	56	100	1605	0x0000000000000004	23292	44649596	8388604	8378476
1789560291	330.85	56	100	1605	0x0000000000000004	23292	44646152	8388604	8378476
1789560293	329.75	55	100	1890	0x0000000000000004	23292	44703668	8388604	8378476
1789560295	331.44	57	100	1605	0x0000000000000004	23292	44789776	8388604	8378476
1789560297	328.83	56	100	1860	0x0000000000000004	23292	44836956	8388604	8378476
1789560299	330.91	56	100	1620	0x0000000000000004	23292	44909892	8388604	8378476
1789560301	331.17	57	100	1605	0x0000000000000004	23292	44944556	8388604	8378476
1789560303	332.24	57	100	1575	0x0000000000000004	23292	44958768	8388604	8378476
1789560305	331.40	58	100	1620	0x0000000000000004	23292	44988672	8388604	8378476
1789560307	332.55	57	100	1890	0x0000000000000004	23292	44816564	8388604	8378476
1789560309	332.38	58	100	1665	0x0000000000000004	23292	44995132	8388604	8378476
1789560311	332.57	57	100	1785	0x0000000000000004	23292	44983728	8388604	8378476
1789560313	336.36	59	100	1605	0x0000000000000004	23292	44914708	8388604	8378476
1789560315	329.27	57	100	1830	0x0000000000000004	23292	44843512	8388604	8378476
1789560317	333.00	57	100	1845	0x0000000000000004	23292	44730244	8388604	8378476
1789560320	329.53	57	100	1905	0x0000000000000004	23292	44714644	8388604	8378476
1789560322	331.87	58	100	1890	0x0000000000000004	23292	44692764	8388604	8378476
1789560324	327.92	58	100	1890	0x0000000000000004	23292	44761136	8388604	8378476
1789560326	331.31	58	100	1800	0x0000000000000004	23292	44789860	8388604	8378476
1789560328	335.57	60	100	1620	0x0000000000000004	23292	44665144	8388604	8378476
1789560330	336.98	58	96	1620	0x0000000000000004	23292	44854140	8388604	8378476
1789560332	331.73	59	100	1770	0x0000000000000004	23292	44846232	8388604	8378476
1789560334	333.08	60	100	1755	0x0000000000000004	23292	44802376	8388604	8378476
1789560336	334.70	60	100	1590	0x0000000000000004	23292	44718580	8388604	8378476
1789560338	334.82	59	100	1830	0x0000000000000004	23292	44748780	8388604	8378476
1789560340	332.95	59	100	1890	0x0000000000000004	23292	44804708	8388604	8378476
1789560342	331.24	61	100	1725	0x0000000000000004	23292	44752316	8388604	8378476
1789560344	332.35	61	100	1590	0x0000000000000004	23292	44785704	8388604	8378476
1789560346	331.95	60	100	1605	0x0000000000000004	23292	44812964	8388604	8378476
1789560348	333.56	60	100	1605	0x0000000000000004	23292	44666776	8388604	8378476
1789560350	329.19	60	100	1890	0x0000000000000004	23292	44449688	8388604	8378476
1789560352	333.16	60	100	1890	0x0000000000000004	23292	44340192	8388604	7939604
1789560354	337.96	60	100	1800	0x0000000000000004	23292	44748572	8388604	8378476
1789560356	337.58	61	100	1575	0x0000000000000004	23292	44693540	8388604	8378476
1789560358	329.79	61	100	1890	0x0000000000000004	23292	44749524	8388604	8378476
1789560360	337.85	61	100	1620	0x0000000000000004	23292	44752592	8388604	8378476
1789560362	331.49	61	100	1890	0x0000000000000004	23292	44721192	8388604	8378476
1789560364	337.15	62	100	1620	0x0000000000000004	23292	44753656	8388604	8378476
1789560366	331.02	61	100	1875	0x0000000000000004	23292	44766888	8388604	8378476
1789560368	333.32	62	100	1605	0x0000000000000004	23292	44596380	8388604	8378476
1789560370	339.30	62	100	1590	0x0000000000000004	23292	44834864	8388604	8378476
1789560372	340.07	62	100	1800	0x0000000000000004	23292	44812064	8388604	8378476
1789560374	326.68	62	100	1830	0x0000000000000004	23292	44551084	8388604	8378476
1789560376	330.06	61	100	1860	0x0000000000000004	23292	44478544	8388604	8378476
1789560378	329.42	61	100	1875	0x0000000000000004	23292	44500260	8388604	8378476
1789560380	331.25	61	100	1875	0x0000000000000004	23292	44518044	8388604	8378476
1789560382	333.20	61	100	1875	0x0000000000000004	23292	44543976	8388604	8378476
1789560384	331.47	63	100	1845	0x0000000000000004	23292	44592900	8388604	8378476
