epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789669956	21.39	31	0	210	0x0000000000000001	20882	52134084	8388604	6482008
1789669958	21.37	31	0	210	0x0000000000000001	20882	51782956	8388604	6402016
1789669960	22.85	32	0	210	0x0000000000000001	20882	51784148	8388604	6218596
1789669962	21.41	31	0	210	0x0000000000000001	20882	51751968	8388604	6122728
1789669964	21.55	31	0	210	0x0000000000000001	20882	51715348	8388604	6051652
1789669966	28.48	31	0	210	0x0000000000000001	20882	51701628	8388604	5966616
1789669968	22.66	31	0	210	0x0000000000000001	20882	51950580	8388604	6482008
1789669970	21.38	30	0	210	0x0000000000000001	20882	51756888	8388604	6363412
1789669972	21.30	30	0	210	0x0000000000000001	20882	51780764	8388604	6177900
1789669974	28.68	31	0	210	0x0000000000000001	20882	51764996	8388604	6162264
1789669976	21.47	30	0	210	0x0000000000000001	20882	51780880	8388604	6144340
1789669978	21.36	30	0	210	0x0000000000000001	20882	51735504	8388604	6115916
1789669980	24.80	30	0	210	0x0000000000000001	20882	51747420	8388604	6048236
1789669982	22.05	30	0	210	0x0000000000000001	20882	52221928	8388604	6482008
1789669984	21.07	30	0	210	0x0000000000000001	20882	51794372	8388604	6432752
1789669986	21.13	30	0	210	0x0000000000000001	20882	51776892	8388604	6273228
1789669988	29.04	30	0	210	0x0000000000000001	20882	51738168	8388604	6142124
1789669990	21.52	30	0	210	0x0000000000000001	20882	51703704	8388604	6055484
1789669992	21.18	30	0	210	0x0000000000000004	20882	52212720	8388604	6482008
1789669994	143.35	40	100	1785	0x0000000000000004	20904	51709692	8388604	6422192
1789669996	173.68	40	100	1725	0x0000000000000004	20904	51632872	8388604	6302604
1789669998	331.41	41	98	1965	0x0000000000000004	20910	51605052	8388604	6187496
1789670000	284.12	42	97	1740	0x0000000000000004	20912	51606252	8388604	6136376
1789670002	347.93	43	99	1725	0x0000000000000004	20914	51580556	8388604	6103524
1789670004	158.92	42	0	1860	0x0000000000000000	21174	51549368	8388604	6088432
1789670006	349.18	44	96	1725	0x0000000000000004	21174	51613592	8388604	5998492
1789670008	348.47	44	95	1740	0x0000000000000004	21174	51980388	8388604	6482008
1789670010	349.32	45	98	1725	0x0000000000000004	21174	51666244	8388604	6393044
1789670012	348.66	46	100	1725	0x0000000000000004	21174	51629976	8388604	6211644
1789670015	348.50	46	98	1725	0x0000000000000004	21174	51647160	8388604	6080692
1789670017	348.85	46	98	1725	0x0000000000000004	21174	51644120	8388604	6043272
1789670019	347.70	47	98	1710	0x0000000000000004	21174	51647416	8388604	5991796
1789670021	348.61	47	98	1710	0x0000000000000004	21174	51667288	8388604	5986076
1789670023	348.00	47	97	1710	0x0000000000000004	21174	51973188	8388604	6482000
1789670025	348.44	48	97	1710	0x0000000000000004	21174	51667192	8388604	6368576
1789670027	347.70	48	98	1710	0x0000000000000004	21174	51624724	8388604	6235968
1789670029	348.60	49	99	1710	0x0000000000000004	21174	51608992	8388604	6160628
1789670031	349.08	49	97	1725	0x0000000000000004	21174	51634020	8388604	6129296
1789670033	348.55	50	97	1725	0x0000000000000004	21174	51647968	8388604	6102108
1789670035	347.79	50	98	1680	0x0000000000000004	21174	51658776	8388604	6072548
1789670037	348.26	50	97	1725	0x0000000000000004	21174	51648432	8388604	6008892
1789670039	348.00	50	98	1710	0x0000000000000004	21174	51991832	8388604	6482004
1789670041	348.75	51	98	1710	0x0000000000000004	21174	51632824	8388604	6351816
1789670043	347.75	51	98	1710	0x0000000000000004	21176	51628372	8388604	6172184
1789670045	346.47	51	98	1815	0x0000000000000004	21176	51620076	8388604	6118988
1789670047	347.65	52	99	1710	0x0000000000000004	21176	51626108	8388604	6032140
1789670049	347.98	52	97	1725	0x0000000000000004	21176	52073664	8388604	6482004
1789670051	348.68	52	98	1740	0x0000000000000004	21176	51690052	8388604	6389500
1789670053	347.19	52	97	1725	0x0000000000000004	21176	51678856	8388604	6214256
1789670055	348.77	53	95	1710	0x0000000000000004	21176	51695012	8388604	6149596
1789670057	346.18	53	96	1785	0x0000000000000004	21176	51660244	8388604	6082620
1789670059	348.86	53	95	1710	0x0000000000000004	21176	51631828	8388604	5973184
1789670061	347.38	54	98	1725	0x0000000000000004	21176	52019796	8388604	6482004
1789670063	348.12	54	99	1710	0x0000000000000004	21176	51686884	8388604	6381688
